Id,Label,timeset,d1,d0,clustering,triangles,Weighted Degree,,,,,,Row Labels,Average of Weighted Degree
nomoremister.blogspot.com,nomoremister.blogspot.com,,LabeledManually,0,0.424242,28,12,,,,,,,
stcfoundation.blogspot.com,stcfoundation.blogspot.com,,Blogarama,0,0.9,9,5,,,,,,,
crankybastard.blogspot.com,crankybastard.blogspot.com,,"Blogarama,eTalkingHead",1,0.5,3,4,,,,,,,
elayneriggs.blogspot.com,elayneriggs.blogspot.com,,LeftyDirectory,0,0.32381,34,15,,,,,,,
quante.blogspot.com,quante.blogspot.com,,Blogarama,1,0.833333,5,4,,,,,,,
evangelicaloutpost.com,evangelicaloutpost.com,,eTalkingHead,1,0.140351,24,19,,,,,,,
lt-smash.us,lt-smash.us,,LabeledManually,1,0.307692,24,13,,,,,,,
prolifeblogs.com,prolifeblogs.com,,LabeledManually,1,0.3,3,5,,,,,,,
bartcop.com,bartcop.com,,CampaignLine,0,0.238095,5,7,,,,,,,
politicalmusings.net,politicalmusings.net,,BlogPulse,1,0.25,7,8,,,,,,,
oliverwillis.com,oliverwillis.com,,"LeftyDirectory,eTalkingHead,CampaignLine",0,0.289855,80,24,,,,,,,
mydd.com,mydd.com,,"LeftyDirectory,LabeledManually,eTalkingHead",0,0.231579,44,20,,,,,,,
marcbrazeau.blogspot.com,marcbrazeau.blogspot.com,,Blogarama,0,0.1,1,5,,,,,,,
demagogue.blogspot.com,demagogue.blogspot.com,,"LeftyDirectory,eTalkingHead",0,0.5,5,5,,,,,,,
rogerlsimon.com,rogerlsimon.com,,"BlogPulse,LeftyDirectory",1,0.418182,23,11,,,,,,,
livejournal.com/users/jmhm,livejournal.com/users/jmhm,,LeftyDirectory,0,0.666667,4,4,,,,,,,
therightcoast.blogspot.com,therightcoast.blogspot.com,,Blogarama,1,0.2,2,5,,,,,,,
rightword.blogspot.com,rightword.blogspot.com,,"Blogarama,BlogCatalog,eTalkingHead",1,0.2,3,6,,,,,,,
whyareweback.blogspot.com,whyareweback.blogspot.com,,"Blogarama,BlogCatalog",0,0.333333,7,7,,,,,,,
mathewgross.com/blog,mathewgross.com/blog,,CampaignLine,0,0.571429,12,7,,,,,,,
mahablog.com,mahablog.com,,LabeledManually,0,0.395604,36,14,,,,,,,
dir.salon.com/topics/joe_conason/index.html,dir.salon.com/topics/joe_conason/index.html,,LabeledManually,0,0.166667,1,4,,,,,,,
pudentilla.blogspot.com,pudentilla.blogspot.com,,Blogarama,0,0.619048,13,7,,,,,,,
blogsofwar.com,blogsofwar.com,,"BlogPulse,eTalkingHead",1,0.239766,41,19,,,,,,,
lefterer.com,lefterer.com,,"Blogarama,LeftyDirectory",0,0.466667,7,6,,,,,,,
dneiwert.blogspot.com,dneiwert.blogspot.com,,"LeftyDirectory,eTalkingHead",0,0.314286,66,21,,,,,,,
thecore4.com,thecore4.com,,BlogCatalog,0,0.5,3,4,,,,,,,
shakespearessister.blogspot.com,shakespearessister.blogspot.com,,"Blogarama,BlogCatalog",0,0.7,7,5,,,,,,,
diplomadic.blogspot.com,diplomadic.blogspot.com,,Blogarama,1,0.222222,8,9,,,,,,,
donaldsensing.com,donaldsensing.com,,LabeledManually,1,0.5,14,8,,,,,,,
buzzmachine.com,buzzmachine.com,,"BlogPulse,LeftyDirectory",0,0.269006,46,19,,,,,,,
freedomofthought.com,freedomofthought.com,,eTalkingHead,1,0,0,3,,,,,,,
theleftcoaster.com,theleftcoaster.com,,"LeftyDirectory,LabeledManually",0,0.408333,49,16,,,,,,,
etherealgirl.blogspot.com,etherealgirl.blogspot.com,,Blogarama,0,0,0,2,,,,,,,
redstatealliance.blogspot.com,redstatealliance.blogspot.com,,Blogarama,1,1,3,3,,,,,,,
anncoulter.org,anncoulter.org,,LabeledManually,1,0.166667,6,9,,,,,,,
markarkleiman.com,markarkleiman.com,,eTalkingHead,0,0.424242,28,12,,,,,,,
thecarpetbaggerreport.com,thecarpetbaggerreport.com,,BlogPulse,0,0.4,6,6,,,,,,,
patriotsforbush.com,patriotsforbush.com,,"Blogarama,eTalkingHead",1,0.4,6,6,,,,,,,
